year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2008,10-14,1,2,2,0,0,0
2008,10-14,2,1,1,0,4817704.72774259,0
2008,10-14,2,1,2,0,0,0
2008,10-14,2,2,1,0,3781479.27225741,0
2008,10-14,2,2,2,0,0,0
2008,15-19,1,1,1,4.00144526074913,4818326.34819272,8.30463727773442e-07
2008,15-19,1,1,2,0,85498.0599230043,0
2008,15-19,1,2,1,2.00072263037456,3583812.67496382,5.58266519997383e-07
2008,15-19,1,2,2,0,224085.916920456,0
2008,15-19,2,1,1,2.00088378258948,4558789.12993384,4.38906851262612e-07
2008,15-19,2,1,2,0,127239.461005193,0
2008,15-19,2,2,1,2.50110472823685,3578489.98951012,6.98927406690676e-07
2008,15-19,2,2,2,2.50110472823685,326791.41955085,7.65352019240418e-06
2008,20-24,1,1,1,1.53901740798043,4446798.40912473,3.46095610006157e-07
2008,20-24,1,1,2,3.07803481596087,382971.180534058,8.03724920415294e-06
2008,20-24,1,2,1,7.4202625027628,3116400.23628523,2.38103643311484e-06
2008,20-24,1,2,2,2.96810500110512,952707.174055985,3.11544310983713e-06
2008,20-24,2,1,1,1.00044189129474,4111540.60039349,2.43325310030745e-07
2008,20-24,2,1,2,0,536735.637456813,0
2008,20-24,2,2,1,7.00309323906319,2980170.31969706,2.34989698165139e-06
2008,20-24,2,2,2,3.00132567388422,1263727.44245263,2.37497863309772e-06
2008,25-29,1,1,1,13.3381508691638,4030559.08667027,3.30925575890333e-06
2008,25-29,1,1,2,0,402131.9749403,0
2008,25-29,1,2,1,12.504516439841,2949314.58435773,4.23980422643321e-06
2008,25-29,1,2,2,4.16817214661367,985230.354031697,4.2306574595037e-06
2008,25-29,2,1,1,14.5392939219305,3833583.9857467,3.79261129428433e-06
2008,25-29,2,1,2,6.05803913413771,547196.285916481,1.10710530938478e-05
2008,25-29,2,2,1,13.1073937629525,2904199.12181449,4.51325587990786e-06
2008,25-29,2,2,2,1.31073937629525,1276935.60652232,1.02647257199209e-06
2008,30-34,1,1,1,29.0581143935353,3568650.98207556,8.14260473761288e-06
2008,30-34,1,1,2,1.45290571967677,328428.007181466,4.42381796895291e-06
2008,30-34,1,2,1,27.2993337855056,2718969.00533684,1.00403254806958e-05
2008,30-34,1,2,2,3.21168632770654,803694.005406139,3.99615563398851e-06
2008,30-34,2,1,1,20.4777356383233,3457419.91606842,5.9228372993262e-06
2008,30-34,2,1,2,4.38808620821214,461950.903472896,9.49903155340316e-06
2008,30-34,2,2,1,28.1091899134748,2767214.04940722,1.01579384216759e-05
2008,30-34,2,2,2,14.0545949567374,1054924.13105147,1.33228490495604e-05
2008,35-39,1,1,1,61.838608124123,3170339.22615228,1.95053600617919e-05
2008,35-39,1,1,2,6.72158783957858,258900.242590581,2.59620762511527e-05
2008,35-39,1,2,1,56.0014632589145,2562811.92709482,2.1851569624306e-05
